Antall;Faregrad;Skredproblem;Skredutløser;Svakt lag;Skredtype;Hovedbudskap norsk
1;Fg3 (1);Fokksnø (1);Naturlig utløst (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Vindauke fører til auka fare. Unngå leområde der det samlar seg fersk fokksnø, typisk bak ryggar, i søkk og renneformasjonar. Det kan gå naturleg utløyste skred.;The danger increases when the wind picks up. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
3;Fg3 (2), Fg2 (1);Fokksnø (3), Vedvarende svakt lag (3);Liten tilleggsbelastning (5), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (3), Nedsnødd eller nedføyket kantkornet snø (3);Tørre flakskred (6);Vindauke fører til auka skredfare utover dagen. Unngå leområde der det samlar seg fersk fokksnø, typisk bak ryggar, i søkk og renneformasjonar.;The danger increases when the wind picks up. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (2);Vindauke på ettermiddagen fører til auka fare. Det er store lokale forskjellar i regionen. Unngå leområde der det samlar seg fersk fokksnø.;The danger increases when the wind picks up in the afternoon. Cinditins differs locally. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
5;Fg3 (5);Fokksnø (5), Vedvarende svakt lag (2);Liten tilleggsbelastning (4), Naturlig utløst (2), Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (5), Nedsnødd eller nedføyket overflaterim (2);Tørre flakskred (7);Vindauke på ettermiddagen fører til auka fare. Unngå leområde der det samlar seg fersk fokksnø, typisk bak ryggar, i søkk og renneformasjonar.;The danger increases when the wind picks up in the afternoon. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2;Fg3 (2);Fokksnø (2), Vedvarende svakt lag (2);Liten tilleggsbelastning (4);Nedføyket svakt lag med nysnø (2), Nedsnødd eller nedføyket overflaterim (2);Tørre flakskred (4);Vinden snur og det dannes ustabile områder mot V. Drønn i snødekket er tegn på fare.;As the winds turns easterly new wind slabs will form. Use great caution on recently loaded slopes. The surface hoar may still be active, be alert to whoomping sounds as they are a sign of instability.
2;Fg3 (2);Nysnøflak (2), Vedvarende svakt lag (2);Naturlig utløst (2), Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2), Nedsnødd eller nedføyket overflaterim (2);Tørre flakskred (4);Vinden tar seg opp, og mykje nedbør som snø over 500 moh fører til aukande skredfare. Naturleg utløyste skred kan kome frå bratte heng, særleg tidleg på døgnet.;The wind is picking up, and precipitation as snow above 500 m a.s.l leads to increased hazard. Naturally triggered avalanches may occur from steep slopes, especially early in the day. Buried surface hoar is observed, and a thorough evaluation of snow pack stability is recommended for activities in avalanche terrain.
2;Fg3 (2);Fokksnø (2), Vedvarende svakt lag (2);Liten tilleggsbelastning (3), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (2), Kantkornet snø under skarelag (2);Tørre flakskred (4);Vinden øker i løpet av dagen. Unngå leområder der det samler seg fersk fokksnø, typisk bak rygger, i søkk og renneformasjoner.;The danger increases when the wind picks up. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
3;Fg3 (3);Fokksnø (3);Liten tilleggsbelastning (3);Nedføyket svakt lag med nysnø (3);Tørre flakskred (3);Vindøking fører til økende fare. Unngå leområder der det samler seg fersk fokksnø, typisk bak rygger, i søkk og renneformasjoner.;The danger increases when the wind picks up. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2;Fg3 (2);Fokksnø (2), Vedvarende svakt lag (2);Liten tilleggsbelastning (2), Stor tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2), Kantkornet snø under skarelag (2);Tørre flakskred (4);Vindøkning fører til økende fare. Unngå leområder der det samler seg fersk fokksnø, typisk bak rygger, i søkk og renneformasjoner.;The danger increases when the wind picks up. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (2);Vindøkning fører til økende skredfare. Det er ustabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan også påvirkes særlig der snødekket er tynt.;Increasing wind speed increase the avalanche danger. Locally unstable conditions due to wind slabs in lee areas. A weak layer of facets or surface hoar may also be triggered especially where the snow cover is thin.
2;Fg3 (2);Fokksnø (2), Vedvarende svakt lag (1);Liten tilleggsbelastning (2), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (2), Kantkornet snø over skarelag (1);Tørre flakskred (3);Vindøkning fører til økende skredfare. Unngå leområder der det samler seg fersk fokksnø, typisk bak rygger, i søkk og renneformasjoner.;The danger increases when the wind picks up. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Kantkornet snø over skarelag (1);Tørre flakskred (2);Vindøkning fører til økt fare. Unngå leområder der det samler seg fersk fokksnø, typisk bak ryggar, i søkk og renneformasjoner. Svake lag kan også påvirkes.;The danger increases when the wind picks up. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
6;Fg4 (6);Vedvarende svakt lag (7), Fokksnø (6);Naturlig utløst (12), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (6), Kantkornet snø under skarelag (5), Nedsnødd eller nedføyket overflaterim (1), Kantkornet snø over skarelag (1);Tørre flakskred (13);Vindøkning gir betydelig snøtransport inn i leheng som kan legge seg over svake lag. Naturlig utløste og fjernutløste skred er mulig. Unngå alt skredterreng.;Complex situation with persistant weak layers. Increasing wind will lead to a large amount of wind deposited snow. Naturally triggered and remotely triggered avalanches possible. Avoid all avalanche terrain.
2;Fg3 (2);Nysnøflak (2), Tørre løssnøskred (2), Våte løssnøskred  (1);Liten tilleggsbelastning (4), Naturlig utløst (1);Ubunden snø (3), Nedføyket svakt lag med nysnø (2);Tørre flakskred (2), Tørre løssnøskred  (2), Våte løssnøskred  (1);Vindøkning gir økt skredfare utover dagen. Unngå bratt terreng med ustabile nysnøflak.;Increasing avalanche danger during the day due to wind. Avoid terrain with fresh wind deposited snow/storm slabs.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Dårlig binding mellom glatt skare og overliggende snø (1), Kantkornet snø under skarelag (1);Tørre flakskred (2);Vindøkning på ettermiddagen. Unngå leområder med fersk fokksnø. Unngå også områder der snødekket over svakt lag er tynt, eksempelvis nær rygger.;The wind increases in the afternoon. Be careful in areas with fresh windloaded snow. Avoid lee areas where a persistent weak layer can be hidden in the snow pack. Avalanches are triggered most easily where the snow pack is thin, typically close to ridges and on convex formations.
2;Fg4 (2);Vedvarende svakt lag (2), Fokksnø (2);Naturlig utløst (2), Liten tilleggsbelastning (2);Kantkornet snø under skarelag (2), Nedføyket svakt lag med nysnø (2);Tørre flakskred (4);Vindøkning vil føre til stor vindtransport av snø inn i leheng. Skred kan utløses både naturlig og av skiløper. Det finnes svake lag. Unngå alt skredterreng.;An increase in wind will lead to a large amount of wind transported snow. Avoid all avalanche terrain. Naturally triggered avalanches likely.
3;Fg2 (3);Våte løssnøskred  (3), Våte flakskred (2), Ikke gitt (1);Naturlig utløst (6);Ubunden snø (3), Opphopning av vann i/over lag i snødekket (2), Kantkornet snø under skarelag (1);Våte løssnøskred  (3), Våte flakskred (2), Ikke gitt  (1);Våte flak-eller løssnøskred kan forekomme. Faren opprettholdes så lenge det regner og hvis solen varmer senere på dagen.;Wet natural avalanches possible. The avalanche danger stays at the same level as long as the rain continues and if the sun melting snow in the afternoon.
2;Fg2 (2);Våte flakskred (2), Våte løssnøskred  (2);Naturlig utløst (4);Ubunden snø (2), Opphopning av vann i/over lag i snødekket (1), Kantkornet snø under skarelag (1);Våte flakskred (2), Våte løssnøskred  (2);Våte flak-eller løssnøskred kan forekomme. Faren opprettholdes så lenge det regner.;Wet natural avalanches possible. The avalanche danger stays at the same level as long as the rain continues.
1;Fg2 (1);Våte løssnøskred  (1), Ikke gitt (1);Naturlig utløst (2);Ubunden snø (1), Opphopning av vann i/over lag i snødekket (1);Våte løssnøskred  (1), Ikke gitt  (1);Våte flak-eller løssnøskred kan forekomme. Faren opprettholdes så lenge det regner. Hold avstand til glidesprekker.;Wet natural avalanches possible. The avalanche danger stays at the same level as long as the rain continues. Keep distance to areas with glide-cracks
4;Fg2 (4);Våte flakskred (4), Våte løssnøskred  (3);Naturlig utløst (6), Liten tilleggsbelastning (1);Ubunden snø (3), Opphopning av vann i/over lag i snødekket (3), Kantkornet snø under skarelag (1);Våte flakskred (4), Våte løssnøskred  (3);Våte flak-eller løssnøskred kan forekomme. Faren opprettholdes så lenge det regner. Vær varsom i løsneområder og utløpsområder for skred.;Wet natural avalanches possible. The avalanche danger stays at the same level as long as the rain continues. Be careful in avalanche release and run out areas.
2;Fg2 (2);Våte flakskred (2), Glideskred (2);Naturlig utløst (4);Opphopning av vann i/over lag i snødekket (2), Vann ved bakken/smelting fra bakken (2);Våte flakskred (4);Våte flak-eller løssnøskred kan forekomme. I ytre strøk og i lavlandet er skredfaren liten.;Wet natural avalanches possible. Be careful in avalanche release and run out areas. On the coastline and in lower terrain the avalanchedanger is 1-small.
1;Fg1 (1);Våte flakskred (1), Glideskred (1);Naturlig utløst (2);Opphopning av vann i/over lag i snødekket (1), Vann ved bakken/smelting fra bakken (1);Våte flakskred (2);Våte flak-eller løssnøskred kan forekomme. Skredfaren er størst på indre strøk og i høyfjellet.;Wet natural avalanches possible. Be careful in avalanche release and run out areas. The danger is higher inland and high in the mountains.
8;Fg2 (8);Våte flakskred (8), Glideskred (8);Naturlig utløst (16);Opphopning av vann i/over lag i snødekket (8), Vann ved bakken/smelting fra bakken (8);Våte flakskred (16);Våte flak-eller løssnøskred kan forekomme. Vær varsom i løsneområder og utløpsområder for skred.;Wet natural avalanches possible. Be careful in avalanche release and run out areas.
22;Fg2 (22);Våte løssnøskred  (22), Våte flakskred (22);Naturlig utløst (43), Liten tilleggsbelastning (1);Ubunden snø (22), Kantkornet snø under skarelag (18), Kantkornet snø ved bakken (2), Opphopning av vann i/over lag i snødekket (2);Våte løssnøskred  (22), Våte flakskred (22);Våte flak-og løssnøskred mulig. Unngå potensielle løsneområder og utløpsområder for skred.;Wet avalanche activity possible. Avoid avalanche release and run-out areas.
1;Fg3 (1);Våte flakskred (1), Våte løssnøskred  (1);Naturlig utløst (2);Opphopning av vann i/over lag i snødekket (1), Ubunden snø (1);Våte flakskred (1), Våte løssnøskred  (1);Våte naturlig utløste flakskred kan forekomme. Faren opprettholdes så lenge det er mildt. Unngå potensielle løsneområder og utløpsområder for skred.;Wet natural avalanches possible. The avalanche danger stays at the same level as long as the warmth continues. Avoid avalanche release and run out areas.
12;Fg3 (12);Våte flakskred (12), Våte løssnøskred  (5), Vedvarende svakt lag (3);Naturlig utløst (16), Stor tilleggsbelastning (3), Liten tilleggsbelastning (1);Opphopning av vann i/over lag i snødekket (12), Ubunden snø (5), Kantkornet snø under skarelag (2), Kantkornet snø over skarelag (1);Våte flakskred (12), Våte løssnøskred  (5), Tørre flakskred (3);Våte naturlig utløste flakskred kan forekomme. Faren opprettholdes så lenge det regner. Unngå potensielle løsneområder og utløpsområder for skred.;Wet natural avalanches possible. The avalanche danger stays at the same level as long as the rain continues. Avoid avalanche release and run out areas.
1;Fg3 (1);Våte flakskred (1), Vedvarende svakt lag (1);Naturlig utløst (1), Stor tilleggsbelastning (1);Opphopning av vann i/over lag i snødekket (1), Kantkornet snø ved bakken (1);Våte flakskred (1), Tørre flakskred (1);Våte naturlig utløste skred kan forekomme, særlig i vest. Faren opprettholdes så lenge det regner. Unngå potensielle løsneområder og utløpsområder for skred.;Wet natural avalanches possible, especially in the western part of the region. The avalanche danger stays at the same level as long as the rain continues. Avoid avalanche release and run out areas.
1;Fg3 (1);Våte løssnøskred  (1), Våte flakskred (1), Glideskred (1);Naturlig utløst (3);Ubunden snø (1), Opphopning av vann i/over lag i snødekket (1), Vann ved bakken/smelting fra bakken (1);Våte flakskred (2), Våte løssnøskred  (1);Våte naturlig utløste skred kan forekomme. Faren opprettholdes så lenge det regner. Unngå potensielle løsneområder og utløpsområder for skred.;Wet natural avalanches possible. The avalanche danger stays at the same level as long as the rain continues. Avoid avalanche release and run out areas.
2;Fg1 (2);Glideskred (2);Naturlig utløst (2);Vann ved bakken/smelting fra bakken (2);Våte flakskred (2);Våte skred som løsner ved bakken kan forekomme. Skredfaren er størst på indre strøk og i høyfjellet.;Wet natural avalanches possible. Be careful in avalanche release and run out areas. The danger is higher inland and high in the mountains.
1;Fg2 (1);Fokksnø (1);Naturlig utløst (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Vær forsiktig der det dannes fersk fokksnø i høyden, ellers stabile forhold.;Be aware of isolated wind slabs above treeline, otherwise stable conditions.
36;Fg2 (33), Fg1 (3);Fokksnø (36), Vedvarende svakt lag (2);Liten tilleggsbelastning (20), Stor tilleggsbelastning (18);Nedføyket svakt lag med nysnø (23), Dårlig binding mellom lag i fokksnøen (10), Dårlig binding mellom glatt skare og overliggende snø (3), Kantkornet snø under skarelag (2);Tørre flakskred (38);Vær forsiktig der det ligger fersk fokksnø i høyden, ellers stabile forhold.;Be aware of isolated wind slabs above treeline, otherwise stable conditions.
1;Fg2 (1);Fokksnø (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Vær forsiktig der det ligger fersk fokksnø i høyden, og steder hvor rim ligger under den nye snøen.;Be aware of isolated wind slabs above treeline, and locations with burried surface hoar.
14;Fg2 (14);Fokksnø (14), Vedvarende svakt lag (1);Stor tilleggsbelastning (8), Liten tilleggsbelastning (7);Dårlig binding mellom lag i fokksnøen (10), Nedføyket svakt lag med nysnø (4), Kantkornet snø under skarelag (1);Tørre flakskred (15);Vær forsiktig der det ligger fersk fokksnø i høyden.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are soft, a slab avalanche is easier to trigger here.
7;Fg3 (7);Fokksnø (7), Våte flakskred (4), Vedvarende svakt lag (3);Naturlig utløst (7), Liten tilleggsbelastning (6), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (7), Opphopning av vann i/over lag i snødekket (4), Nedsnødd eller nedføyket kantkornet snø (2), Kantkornet snø over skarelag (1);Tørre flakskred (10), Våte flakskred (4);Vær forsiktig der det ligger fersk fokksnø i høyden. Stigende temperatur fører til midlertidig svekkelse av snødekket.;Be careful in areas with wind deposited snow at high elevations. Increasing temperature will weaken the snow cover temporarily.
6;Fg3 (6);Fokksnø (6), Våte løssnøskred  (6);Naturlig utløst (12);Nedføyket svakt lag med nysnø (6), Ubunden snø (6);Tørre flakskred (6), Våte løssnøskred  (6);Vær forsiktig der det ligger fersk fokksnø i høyden. Stigende temperatur og regn utover ettermiddagen fører til fare for naturlig utløste skred.;Be careful in areas with wind deposited snow at high elevations. Increasing temperature during the day will weaken the snow cover and cause naturally triggerd avalanches.
7;Fg2 (7);Fokksnø (7);Liten tilleggsbelastning (6), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (7);Tørre flakskred (7);Vær forsiktig der det ligger fersk fokksnø, ellers stabile forhold.;Be aware of isolated wind slabs, otherwise stable conditions.
4;Fg3 (4);Fokksnø (4), Vedvarende svakt lag (2);Liten tilleggsbelastning (4), Stor tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (4), Kantkornet snø over skarelag (1), Kantkornet snø under skarelag (1);Tørre flakskred (6);Vær forsiktig der det ligger fersk fokksnø.;Be aware of fresh wind deposited snow.
5;Fg2 (5);Fokksnø (5), Vedvarende svakt lag (5);Liten tilleggsbelastning (10);Nedføyket svakt lag med nysnø (5), Nedsnødd eller nedføyket overflaterim (5);Tørre flakskred (10);Vær forsiktig i bratt terreng med fersk fokksnø som enkelte steder kan ligge over nedføyket overflaterim.;Be careful in steep terrain with fresh wind deposited snow. A persistent weak layer of buried surface hoar can be present beneath wind deposited snow.
3;Fg2 (3);Fokksnø (3);Liten tilleggsbelastning (3);Nedføyket svakt lag med nysnø (3);Tørre flakskred (3);Vær forsiktig i bratt terreng med fersk fokksnø, ellers stabile forhold.;Be careful in steep terrain with fresh wind slabs, otherwise stable conditions.
5;Fg2 (5);Fokksnø (5), Vedvarende svakt lag (5);Liten tilleggsbelastning (10);Nedføyket svakt lag med nysnø (5), Nedsnødd eller nedføyket overflaterim (5);Tørre flakskred (10);Vær forsiktig i bratt terreng med fersk fokksnø, som lokalt kan ligge over vedvarende svakt lag.;Be careful in steep terrain with wind deposited snow. A persistant weak layer of facets may be present beneath small wind slabs.
4;Fg2 (4);Vedvarende svakt lag (4), Fokksnø (2);Liten tilleggsbelastning (4), Stor tilleggsbelastning (2);Nedsnødd eller nedføyket overflaterim (4), Nedføyket svakt lag med nysnø (2);Tørre flakskred (6);Vær forsiktig i bratt terreng med fokksnø som enkelte steder kan ligge over nedføyket overflaterim.;A persistent weak layer of buried surface hoar can be present beneath wind deposited snow.
10;Fg2 (10);Våte løssnøskred  (10), Glideskred (9);Naturlig utløst (10), Liten tilleggsbelastning (9);Ubunden snø (10), Vann ved bakken/smelting fra bakken (9);Våte løssnøskred  (10), Våte flakskred (9);Vær forsiktig i bratte heng med myk og våt snø. Hold avstand til fjellsider med glidesprekker.;Be careful on steep slopes with soft and wet snow, a skier can trigger avalanches here. Keep distance to areas with glide-cracks and be aware of weak cornices.
2;Fg2 (2);Våte flakskred (2), Våte løssnøskred  (2);Naturlig utløst (4);Kantkornet snø under skarelag (2), Ubunden snø (2);Våte flakskred (2), Våte løssnøskred  (2);Vær forsiktig i bratte heng med myk våt snø.;Be careful in steep slopes with soft, wet snow. Be aware that persistent weak layers can be hidden in the snow pack, in north aspects, over approximately 700 mas.
6;Fg2 (6);Våte løssnøskred  (6), Glideskred (4);Naturlig utløst (7), Liten tilleggsbelastning (2), Stor tilleggsbelastning (1);Ubunden snø (6), Vann ved bakken/smelting fra bakken (4);Våte løssnøskred  (6), Våte flakskred (4);Vær forsiktig i bratte heng med myk våt snø. Hold avstand til fjellsider med glidesprekker.;Be careful on steep slopes with soft and wet snow, a skier can trigger avalanches here. Keep distance to areas with glide-cracks
3;Fg2 (3);Våte løssnøskred  (3), Glideskred (2), Våte flakskred (1);Naturlig utløst (6);Ubunden snø (3), Vann ved bakken/smelting fra bakken (2), Opphopning av vann i/over lag i snødekket (1);Våte løssnøskred  (3), Våte flakskred (3);Vær forsiktig i bratte heng med myk våt snø. Naturlig utløste skred kan forekomme. Hold avstand til skavler og fjellsider med glidesprekker.;Be careful on steep slopes with soft and wet snow, a skier can trigger avalanches here. Naturally released avalanches can occur. Keep distance to cornices and areas with glide-cracks
3;Fg2 (3);Våte løssnøskred  (3), Våte flakskred (3);Naturlig utløst (6);Ubunden snø (3), Opphopning av vann i/over lag i snødekket (3);Våte løssnøskred  (3), Våte flakskred (3);Vær forsiktig i bratte heng med myk våt snø. Naturlig utløste våte skred kan forekomme. Hold avstand til skavler og fjellsider med glidesprekker.;Be careful on steep slopes with soft and wet snow, a skier can trigger avalanches here. Naturally released wet avalanches can occur. Keep distance to cornices and areas with glide-cracks
5;Fg2 (5);Våte løssnøskred  (5), Glideskred (5);Liten tilleggsbelastning (5), Naturlig utløst (5);Ubunden snø (5), Vann ved bakken/smelting fra bakken (5);Våte løssnøskred  (5), Våte flakskred (5);Vær forsiktig i bratte heng med våt nysnø i høyfjellet. Hold avstand til skavler og fjellsider med glidesprekker.;Be careful on steep slopes with wet fresh snow in the alpine, a skier can trigger avalanches here. Keep distance to cornices and areas with glide-cracks
2;Fg2 (2);Våte løssnøskred  (2), Fokksnø (2);Liten tilleggsbelastning (2), Stor tilleggsbelastning (2);Ubunden snø (2), Dårlig binding mellom lag i fokksnøen (2);Våte løssnøskred  (2), Tørre flakskred (2);Vær forsiktig i bratte leområder med tørr fokksnø i høyfjellet. I solsider kan det gå våte skred hvis sola titter frem.;When the sun comes out, the danger will rise in areas where the new snow becomes wet and soft. Be aware in steep lee areas in higher elevations, small dry wind slabs are possible to release. Be careful close to and in terrain traps.
4;Fg2 (4);Våte løssnøskred  (4), Vedvarende svakt lag (4);Naturlig utløst (4), Stor tilleggsbelastning (4);Ubunden snø (4), Kantkornet snø under skarelag (4);Våte løssnøskred  (4), Tørre flakskred (4);Vær forsiktig i bratte solvendte heng, særlig utover dagen.;Wet avalanches can release due to sun. Persistent weak layers buried in the snow will be easier to trigger and can cause medium large avalanches.
1;Fg2 (1);Våte løssnøskred  (1), Vedvarende svakt lag (1);Naturlig utløst (1), Stor tilleggsbelastning (1);Ubunden snø (1), Kantkornet snø under skarelag (1);Våte løssnøskred  (1), Tørre flakskred (1);Vær forsiktig i bratte solvendte heng, særlig utover dagen. Vedvarende svake lag finnes fortsatt.;Wet avalanches can release due to sun. Persistent weak layers buried in the snow can cause medium large avalanches, its most likely to trigger persistent weak layers where the snowcover is soft or thin.
1;Fg2 (1);Nysnøflak (2);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Dårlig binding mellom glatt skare og overliggende snø (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2);Vær forsiktig i leheng med ferske nysnøflak, nysnøen kan ha dårlig feste til glatt skare.;Be careful in areas with wind-deposited snow, it may be resting on a slippery crust surface.
2;Fg3 (2);Nysnøflak (2), Våte løssnøskred  (2);Naturlig utløst (3), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (2), Ubunden snø (2);Tørre flakskred (2), Våte løssnøskred  (2);Vær forsiktig i leområde der det samlar seg fokksnø. Det er lettast å løyse ut skred der fokksnølaget er mjukt.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Slab avalanches are easiest to trigger where the slabs are soft.
18;Fg2 (16), Fg3 (2);Fokksnø (18);Liten tilleggsbelastning (10), Stor tilleggsbelastning (8);Dårlig binding mellom lag i fokksnøen (9), Nedføyket svakt lag med nysnø (9);Tørre flakskred (18);Vær forsiktig i leområder der det ligger fokksnø, f. eks. bak rygger, i søkk og renneformasjoner. Lettest å løse ut skred der fokksnølaget er tynt eller mykt.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger there.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (2);Vær forsiktig i leområder der det samler seg fokksnø, bak rygger, i søkk og renneformasjoner.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger there.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (2);Dårlig binding mellom glatt skare og overliggende snø (1), Kantkornet snø under skarelag (1);Tørre flakskred (2);Vær forsiktig i leområder der det samler seg fokksnø. Den vindtransporterte snøen kan i noen områder ligge på vedvarende svake lag under som kan kollapse.;Take care in lee areas with wind slabs! A weak layer of facets or surface hoar in the old snowpack may also be triggered where the snow cover is thin.
8;Fg3 (6), Fg2 (2);Fokksnø (8);Liten tilleggsbelastning (8);Dårlig binding mellom lag i fokksnøen (8);Tørre flakskred (8);Vær forsiktig i leområder der det samler seg fokksnø. Det er lettest å løse ut skred der fokksnøflaket er tynt eller mykt.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger there.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (2);Dårlig binding mellom lag i fokksnøen (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (2);Vær forsiktig i leområder der det samler seg fokksnø; bak rygger, i søkk og renneformasjoner. Lettest å løse ut skred der fokksnølaget er tynt eller mykt.;Locally unstable conditions due to wind slabs in lee areas, especially in areas where it has been most precipitation. A weak layer of facets or surface hoar may also be triggered in the inner parts of the region, where it has been formed wind slabs.
8;Fg3 (8);Fokksnø (8), Vedvarende svakt lag (4);Liten tilleggsbelastning (8), Stor tilleggsbelastning (4);Dårlig binding mellom lag i fokksnøen (8), Kantkornet snø over skarelag (2), Kantkornet snø under skarelag (2);Tørre flakskred (12);Vær forsiktig i leområder der det samles fokksnø, f. eks. bak rygger, i søkk og renneformasjoner. Lettest å løse ut skred der fokksnølaget er tynt eller mykt.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger there
1;Fg2 (1);Vedvarende svakt lag (1);Liten tilleggsbelastning (1);Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (1);Vær forsiktig i leområder hvor et svakt lag av kantkorn kan ligge under fersk fokksnø.;Be careful in areas where buried facets can be hidden beneath fresh wind deposited snow.
3;Fg2 (3);Vedvarende svakt lag (3);Stor tilleggsbelastning (2), Liten tilleggsbelastning (1);Kantkornet snø under skarelag (3);Tørre flakskred (3);Vær forsiktig i leområder hvor et svakt lag av kantkornet snø ligger under fokksnø.;Be careful in areas where a persistent weak layer are buried beneath wind deposited snow.
2;Fg2 (2);Vedvarende svakt lag (4), Fokksnø (2);Liten tilleggsbelastning (4), Stor tilleggsbelastning (2);Nedsnødd eller nedføyket overflaterim (2), Nedføyket svakt lag med nysnø (2), Kantkornet snø ved bakken (2);Tørre flakskred (6);Vær forsiktig i leområder hvor et svakt lag av overflaterim kan ligge under fersk fokksnø.;Be careful in areas fresh with wind deposited snow, it may rest on a persistant weak layer of surface hoar. A persistant weak layer of depth hoar can be triggered where det snow pack is thin og soft.
3;Fg2 (3);Vedvarende svakt lag (6);Liten tilleggsbelastning (3), Stor tilleggsbelastning (3);Nedsnødd eller nedføyket overflaterim (3), Kantkornet snø over skarelag (3);Tørre flakskred (6);Vær forsiktig i leområder hvor et svakt lag av overflaterim kan ligge under fersk fokksnø. Det finnes også vedvarende svake lag lenger ned i snødekket.;Be careful in areas where buried surface hoar can be hidden beneath fresh wind deposited snow. A persistent weak layer of facets may be triggered, especially where the snow cover is thin.
4;Fg2 (4);Vedvarende svakt lag (4);Liten tilleggsbelastning (4);Nedsnødd eller nedføyket kantkornet snø (4);Tørre flakskred (4);Vær forsiktig i leområder hvor et vedvarende svakt lag kan ligge under fersk fokksnø.;Be careful in areas where persistent weak layers can be hidden beneath fresh wind deposited snow.
2;Fg2 (2);Fokksnø (2);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2);Vær forsiktig i leområder med fersk fokksnø i høyden. Der overflaten er hard og avblåst er skredfaren 1-liten.;Be careful on lee slopes with fresh wind slabs in the alpine. The danger level is low where the surface is hard.
3;Fg2 (3);Fokksnø (3);Liten tilleggsbelastning (3);Nedføyket svakt lag med nysnø (3);Tørre flakskred (3);Vær forsiktig i leområder med fersk fokksnø i høyden. Der overflaten er hard og avblåst er skredfaren lavere.;Be careful on lee slopes with fresh wind slabs in the alpine. The danger level is lower where the surface is hard.
