Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet over skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder hvor det samler seg fersk fokksnø. Fokksnøen kan ligge oppå et vedvarende svakt lag.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Be careful, wind deposited snow could rest on a weak layer of faceted snow.
40	Fg2 (39), Fg3 (1)	Fokksnø (38), Vedvarende svakt lag (5), Våt snø (4)	I fokksnøen (25), Lag med løs nysnø (13), Regn/temperaturstigning (4), Lag med overflaterim (3), Lag med kantkornet snø (1), Glatt skare (1)	Tørre flakskred (43), Våte løssnøskred (4)	Vær forsiktig i leområder hvor det samler seg fokksnø, typisk bak rygger, i søkk og renneformasjoner.	Use caution on recently loaded slopes. The danger has descreased, but slabs can still be trigged in shallow spots.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Vær forsiktig i leområder hvor det samler seg fokksnø, typisk bak rygger, i søkk og renneformasjoner. Fokksnøen kan ha dårlig feste til glatt skare.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Be aware that wind deposited snow may be resting on a slippery surface.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Vær forsiktig i leområder hvor det samler seg fokksnø, typisk bak rygger, i søkk og renneformasjoner. Soloppvarming kan gi naturlig utløste skred.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Be careful in sun exposed steep slopes
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Vær forsiktig i leområder hvor det samler seg fokksnø, typisk bak rygger, i søkk og renneformasjoner. Soloppvarming kan gje naturleg utløyste skred.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Be careful in sun exposed steep slopes
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (2)	Vær forsiktig i leområder hvor det samler seg fokksnø, typisk bak rygger, i søkk og renneformasjoner. Våte skred kan løsne av seg selv i lavlandet.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Naturally released wet avalanches is possible.
18	Fg2 (18)	Fokksnø (18), Våt snø (4), Vedvarende svakt lag (2)	I fokksnøen (14), Lag med løs nysnø (4), Regn/temperaturstigning (4), Lag med overflaterim (1), Kantkornet under skaren (1)	Tørre flakskred (20), Våte løssnøskred (4)	Vær forsiktig i leområder hvor det samler seg fokksnø, typisk bak rygger, i søkk og renneformasjoner. Vær spesielt oppmerksom på steder der fokksnølaget er tynt.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
3	Fg2 (3)	Fokksnø (3)	Lag med løs nysnø (3)	Tørre flakskred (3)	Vær forsiktig i leområder hvor det samler seg fokksnø, typisk bak rygger, i søkk og renneformasjoner. Vær spesielt oppmerksom på tynn eller myk fokksnø.	Be careful in areas in lee areas with wind-deposited snow, typical behind ridges, ribs and in gullies. Especially where wind-deposited slabs are thin or soft.
2	Fg2 (2)	Fokksnø (2)	I fokksnøen (2)	Tørre flakskred (2)	Vær forsiktig i leområder hvor det samler seg fokksnø.	Be careful in lee areas with wind deposited snow.
16	Fg2 (15), Fg3 (1)	Fokksnø (16), Våt snø (15)	I fokksnøen (16), Regn/temperaturstigning (15)	Tørre flakskred (16), Våte løssnøskred (15)	Vær forsiktig i leområder hvor det samler seg fokksnø. Det kan gå naturlig utløste skred i nysnøen i solutsatte brattheng.	Be careful in lee areas with wind deposited snow. Naturally released avalanches can occur in steep sun exposed faces.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Vær forsiktig i leområder hvor det samler seg fokksnø. Det kan gå naturlig utløste skred i nysnøen i solvendte brattheng.	Be careful in lee areas with wind deposited snow. Naturally released avalanches can occur in steep sun exposed faces.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	I fokksnøen (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Vær forsiktig i leområder hvor det samler seg fokksnø. Det kan gå naturlig utløste skred i solutsatte brattheng.	Be careful in lee areas with wind deposited snow. Naturally released avalanches can occur in steep sun exposed faces.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder hvor det samler seg fokksnø. Et svakt lag kan ligge gjemt i snødekket.	Be careful in lee areas with wind deposited snow. A persistent weak layer can be present at some locations. Naturally released avalanches can occur in steep sun exposed faces.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (1)	Lag med overflaterim (2), Lag med løs nysnø (1)	Tørre flakskred (3)	Vær forsiktig i leområder hvor det samler seg fokksnø. Fokksnøen kan ha lagt seg oppå et lag med overflaterim.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.  A weak layer of buried surface hoar can be present underneath fresh wind deposited snow in isolated features.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder hvor det samler seg fokksnø. Fokksnøen kan ha lagt seg oppå et svakt lag av overflaterim.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.  A weak layer of buried surface hoar can be present underneath fresh wind deposited snow in isolated features.
6	Fg2 (6)	Vedvarende svakt lag (6), Fokksnø (6)	I fokksnøen (6), Kantkornet under skaren (6)	Tørre flakskred (12)	Vær forsiktig i leområder hvor det samler seg fokksnø. Lokalt kan det ligge et svakt lag av kantkornet snø.	Be careful in lee areas with wind deposited snow. A persistent weak layer can be present at some locations. Naturally released avalanches can occur in steep sun exposed faces.
1	Fg2 (1)	Fokksnø (1), Nysnø (1)	Ubundet løs snø (1), I fokksnøen (1)	Tørre flakskred (1), Tørre løssnøskred (1)	Vær forsiktig i leområder hvor det samler seg fokksnø. Naturlig utløste skred kan forekomme i soleksponerte bratte heng.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Naturally released avalanches can occur in steep sun exposed faces.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet over skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder hvor det samler seg fokksnø. Stedvis kan det ligge en nedføyket svakt lag av kantkornet snø.	Be careful in lee areas with wind deposited snow. A persistent weak layer can be present at some locations. Naturally released avalanches can occur in steep sun exposed faces.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Kantkornet over skaren (2)	Tørre flakskred (4)	Vær forsiktig i leområder hvor det samler seg fokksnø. Stedvis kan det ligge et nedføyket svakt lag av kantkornet snø.	Be careful in lee areas with wind deposited snow. A persistent weak layer can be present at some locations. Naturally released avalanches can occur in steep sun exposed faces.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Kantkornet over skaren (2)	Tørre flakskred (4)	Vær forsiktig i leområder hvor det samler seg fokksnø. Stedvis kan det ligge et svakt lag av kantkornet snø, som kan gi større skred.	Be careful in lee areas with wind deposited snow. A persistent weak layer can be present at some locations. Naturally released avalanches can occur in steep sun exposed faces.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder hvor det samler seg fokksnø. Stedvis kan det ligge et svakt lag av kantkornet snø, som kan gi større skred. Fjærutløsning mulig!	Be careful in lee areas where a persistent weak layer can be hidden in the snow pack. Avalanches is triggered most easily where the snow pack is thin, typically close to ridges and on convex formations. Remote triggering is likely.
1	Fg3 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Vær forsiktig i leområder hvor det samler seg fokksnø. Vær spesielt oppmerksom på steder der fokksnølaget er tynt eller mykt, her er det lettere å trigge skred.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Lag med overflaterim (2)	Tørre flakskred (4)	Vær forsiktig i leområder hvor et svakt lag av overflaterim kan ligge under fersk fokksnø.	Be careful in areas where buried surface hoar can be hidden beneath fresh wind deposited snow.
3	Fg2 (3)	Vedvarende svakt lag (3), Fokksnø (3)	I fokksnøen (3), Lag med overflaterim (3)	Tørre flakskred (6)	Vær forsiktig i leområder hvor et svakt lag av overflaterim kan ligge under fokksnøen. Det er lettest å trigge skred der snødekket er tynt.	Be careful in areas where buried surface hoar can be hidden in the snow. Areas with wind deposited snow is more vulnerable than other areas. Avalances can most easily be triggered i areas with thin snow cover (close to ridges and convex formations). Remote triggering is possible.
1	Fg2 (1)	Vedvarende svakt lag (1)	Kantkornet under skaren (1)	Tørre flakskred (1)	Vær forsiktig i leområder hvor et svakt lag kan ligge gjemt i snødekket. Det er lettest å løse ut skred der snødekket er tynt.	Be careful in (lee) areas where a persistent weak layer can be hidden in the snow pack. Avalanches is triggered most easily where the snow pack is thin, typically close to ridges and on convex formations. Remote triggering is possible.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder hvor et svakt lag kan ligge gjemt i snødekket. Det er lettest å trigge skred der snødekket er tynt, f. eks. nær rygger og på kuler.	Be careful in lee areas where a persistent weak layer can be hidden in the snow pack. Avalanches is triggered most easily where the snow pack is thin, typically close to ridges and on convex formations. Remote triggering is possible.
5	Fg2 (5)	Vedvarende svakt lag (5), Fokksnø (2)	Kantkornet under skaren (5), I fokksnøen (2)	Tørre flakskred (7)	Vær forsiktig i leområder hvor et svakt lag kan ligge gjemt i snødekket. Det er lettest å trigge skred der snødekket er tynt.	Be careful in leeareas where a persistent weak layer can be hidden in the snow pack. Avalanches is triggered most easily where the snow pack is thin.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder hvor et svakt lag kan ligge gjemt i snødekket. Det er lettest å utløse snøskred der snødekket er tynt.	Be careful in leeareas where a persistent weak layer can be hidden in the snow pack. Avalanches is triggered most easily where the snowpack is thin.
17	Fg2 (17)	Fokksnø (15), Vedvarende svakt lag (3)	Lag med løs nysnø (9), I fokksnøen (6), Lag med overflaterim (3)	Tørre flakskred (18)	Vær forsiktig i leområder hvor vinden legger fra seg fersk fokksnø, typisk bak rygger, i søkk og renneformasjoner.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Buried surface hoar is a problem in some locations.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder i høyden hvor vinden legger fra seg mye snø, typisk bak rygger, i søkk og renneformasjoner. Lokalt kan det ligge rim under fokksnøen.	Be careful in lee areas above tree line with wind deposited snow, typically behind ridges, ribs and in gullies. Buried surface hoar can be a problem in some locations.
6	Fg2 (6)	Fokksnø (6)	Lag med løs nysnø (3), I fokksnøen (3)	Tørre flakskred (6)	Vær forsiktig i leområder i høyden som har samlet fokksnø.	Be careful in lee areas at high elevations, typically behind ridges, ribs and in gullies where fresh snow may deposit.
4	Fg2 (4)	Fokksnø (4)	I fokksnøen (4)	Tørre flakskred (4)	Vær forsiktig i leområder med den ferskeste fokksnøen.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
5	Fg2 (5)	Fokksnø (5), Våt snø (5)	Lag med løs nysnø (5), Regn/temperaturstigning (5)	Tørre flakskred (5), Våte løssnøskred (5)	Vær forsiktig i leområder med fersk fokksnø i høyden. Der overflaten er hard er skredfaren 1-liten.	Be careful on lee slopes with fresh wind slabs in the alpine. The danger level is low where the surface is hard.
5	Fg2 (5)	Fokksnø (5)	I fokksnøen (3), Lag med løs nysnø (2)	Tørre flakskred (5)	Vær forsiktig i leområder med fersk fokksnø.	Be careful in lee areas with wind deposited snow.
7	Fg3 (5), Fg2 (2)	Vedvarende svakt lag (7), Fokksnø (7)	I fokksnøen (7), Lag med overflaterim (6), Lag med kantkornet snø (1)	Tørre flakskred (14)	Vær forsiktig i leområder med fersk fokksnø. Det finnes flere svake lag under fokksnøen.	Be careful in areas with wind deposited snow. Presence of multiple weak layers in the snowpack.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder med fersk fokksnø. Det finnes flere svake lag under fokksnøen. Når temperaturen stiger vil skredfaren øke.	Be careful in areas with wind deposited snow. Presence of multiple weak layers in the snowpack. Temperature rise will increase the danger.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder med fersk fokksnø. Det finnes flere svake lag under fokksnøen. Når temperaturen stiger vil skrefaren øke.	Be careful in areas with wind deposited snow. Presence of multiple weak layers in the snowpack. Temperature rise will increase the danger.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder med fersk fokksnø. Det finnes også svake lag under fokksnøen.	Be careful in areas with wind deposited snow. Presence of buried weak layers in the snowpack.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet ved bakken (1)	Tørre flakskred (2)	Vær forsiktig i leområder med fersk fokksnø. Et svakt lag ligger begravd i snødekket.	Be careful in lee areas with wind deposited snow. A persistent weak layer can be hidden in the snow pack.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Vær forsiktig i leområder med fersk fokksnø. Større skred er vanskelig å løse ut, men kan forekomme.	Use caution on recently loaded slopes with wind slabs. Several weak layers of facets and surface hoar persists in the snowpack and are widespread. These layers can be triggered by high additional loads and propagate into size 3 avalanches.
5	Fg2 (5)	Vedvarende svakt lag (5), Fokksnø (5)	I fokksnøen (5), Lag med kantkornet snø (5)	Tørre flakskred (10)	Vær forsiktig i leområder med fersk fokksnø. Vær obs på overgang fra tynt til tykt snødekke.	Be careful in leeward slopes with fresh wind deposited snow.
2	Fg2 (2)	Fokksnø (2)	I fokksnøen (2)	Tørre flakskred (2)	Vær forsiktig i leområder med fokksnø i og over skoggrensen. Ellers stabile forhold.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow above tree line.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (1)	Lag med kantkornet snø (2), Lag med løs nysnø (1)	Tørre flakskred (3)	Vær forsiktig i leområder med fokksnø rundt skoggrensa. Ellers generelt stabile forhold.	Be careful in areas with fresh wind deposited snow, but generally conditions are stable.
3	Fg2 (3)	Vedvarende svakt lag (2), Fokksnø (1)	Lag med kantkornet snø (2), I fokksnøen (1)	Tørre flakskred (3)	Vær forsiktig i leområder med fokksnø rundt skoggrensa. Ellers stabile forhold.	Be careful in areas with fresh wind deposited snow in the sputheastern pars of the region, but otherwise the snow pack is fairly stable.
3	Fg2 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Vær forsiktig i leområder med fokksnø, ellers stabile forhold.	Be careful in areas with fresh wind deposited snow, but otherwise the snow pack is fairly stable.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	Regn/temperaturstigning (3), I fokksnøen (2), Lag med løs nysnø (1)	Tørre flakskred (3), Våte løssnøskred (3)	Vær forsiktig i leområder med fokksnø, og i bratte solsider midt på dagen.	Be careful in steep slopes with wind-deposited snow. Also be careful in steep and sunexposed terrain.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Vær forsiktig i leområder med fokksnø, spesielt rundt skoggrensa. Ellers stabile forhold.	Be careful in areas with fresh wind deposited snow, but generally conditions are stable.
16	Fg2 (16)	Fokksnø (16), Vedvarende svakt lag (4)	I fokksnøen (9), Lag med løs nysnø (7), Kantkornet ved bakken (2), Kantkornet under skaren (2)	Tørre flakskred (20)	Vær forsiktig i leområder med fokksnø.	Be careful in areas with wind-deposited snow,
5	Fg2 (5)	Fokksnø (4), Vedvarende svakt lag (3), Våt snø (2)	I fokksnøen (3), Lag med kantkornet snø (3), Regn/temperaturstigning (2), Lag med løs nysnø (1)	Tørre flakskred (7), Våte flakskred (2)	Vær forsiktig i leområder med fokksnø. Det finnes områder med svake lag under den vindtransporterte snøen.	Be careful in areas with fresh wind deposited snow. There may be pockets with a persistent weak layer beneath this fresh snow.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	I fokksnøen (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte flakskred (2)	Vær forsiktig i leområder med fokksnø. Det finnes områder med svake lag under den vindtransporterte snøen. Fare for solutløste skred.	Be careful in areas with fresh wind deposited snow. There may be pockets with a persistent weak layer beneath this fresh snow. Danger of wet avalanches in sunexposed mountainsides.
5	Fg2 (4), Fg3 (1)	Vedvarende svakt lag (10), Fokksnø (5)	I fokksnøen (5), Kantkornet ved bakken (5), Lag med overflaterim (4), Lag med kantkornet snø (1)	Tørre flakskred (15)	Vær forsiktig i leområder med fokksnø. Det finnes områder med svake lag under fokksnøen.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and gullies. Be aware of weak layers under wind-deposited snow.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder med fokksnø. Et svakt lag er tilstede, men krever stor belastning få å trigges.	Be careful in areas with wind deposited snow. A weak layer is still lingering in the snowpack. As proven hard to trigger, but has a large potential is triggered.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	Regn/temperaturstigning (3), I fokksnøen (3)	Tørre flakskred (3), Våte løssnøskred (3)	Vær forsiktig i leområder med fokksnø. I lavlandet kan det gå våte skred i bratt terreng.	Be careful in areas with fresh wind deposited snow. Wet avalanches can release in steep terrain in lower areas.
5	Fg2 (5)	Fokksnø (7), Vedvarende svakt lag (5)	I fokksnøen (5), Kantkornet over skaren (5), Lag med løs nysnø (2)	Tørre flakskred (12)	Vær forsiktig i leområder med fokksnø. I tillegg finnes områder med svake lag under fokksnøen.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and gullies. Be aware weak layers under wind-deposited snow.
3	Fg2 (3)	Vedvarende svakt lag (3), Fokksnø (3)	I fokksnøen (3), Lag med kantkornet snø (3)	Tørre flakskred (6)	Vær forsiktig i leområder med fokksnø. Større skred er vanskelig å løse ut, men kan forekomme ved stor tilleggsbelastning.	Use caution on recently loaded slopes with wind slabs. Several weak layers of facets and surface hoar persists in the snowpack and are widespread. These layers can be triggered by high additional loads and propagate into size 3 avalanches.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Vær forsiktig i leområder med fokksnø. Større skred er vanskelig å løse ut, men kan forekomme.	Use caution on recently loaded slopes with wind slabs. Several weak layers of facets and surface hoar persists in the snowpack and are widespread. These layers can be triggered by high additional loads and propagate into size 3 avalanches.
2	Fg2 (1), Fg3 (1)	Vedvarende svakt lag (2), Fokksnø (2), Våt snø (1)	I fokksnøen (2), Kantkornet under skaren (2), Regn/temperaturstigning (1)	Tørre flakskred (4), Våte flakskred (1)	Vær forsiktig i leområder med fokksnø. Svake lag er tilstede, men krever stor belastning for å påvirkes.	Be careful in areas with wind deposited snow. A weak layer is still lingering in the snowpack. Has proven hard to trigger, but has a large potential if triggered.
4	Fg2 (4)	Vedvarende svakt lag (4), Fokksnø (4)	Lag med kantkornet snø (4), I fokksnøen (3), Lag med løs nysnø (1)	Tørre flakskred (8)	Vær forsiktig i leområder med fokksnø. Vær obs på overgang fra tynt til tykt snødekke.	Be careful in areas with wind-deposited snow.
4	Fg2 (4)	Fokksnø (4), Våt snø (4)	Lag med løs nysnø (4), Regn/temperaturstigning (4)	Tørre flakskred (4), Våte løssnøskred (4)	Vær forsiktig i leområder med tørre nysnøflak i høyden. I lavlandet og i solvendte fjellsider kan det gå små løssnøskred. Unngå områder under glidesprekker.	Wet avalanches can release in steep terrain in lower areas and in sun exposed slopes where the sun comes out. Wind slabs are a problem at high elevations. Avoid areas with visible gliding cracks, release areas and run out areas for wet snow avalanches.
4	Fg2 (4)	Vedvarende svakt lag (5), Fokksnø (3)	Lag med overflaterim (5), I fokksnøen (3)	Tørre flakskred (8)	Vær forsiktig i leområder med ustabil fokksnø høyt til fjells.	Be careful in areas with wind slabs.
6	Fg2 (6)	Vedvarende svakt lag (6), Fokksnø (6)	Lag med løs nysnø (4), Lag med overflaterim (3), Kantkornet under skaren (3), I fokksnøen (2)	Tørre flakskred (12)	Vær forsiktig i leområder med ustabil fokksnø, den kan lokalt ligge over et lag nedsnødd overflaterim. Fjernutløsning er mulig.	Be careful in areas with wind deposited snow, buried surface hoar can be present in some locations. Remote triggering of avalanches is possible.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjonar som har samla fokksnø, særlig der snødekket er tynt feks nær rygger og klipper.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner der det har lagt seg opp mye nysnø og ferske flak av fokksnø.	Be careful in lee areas with wind deposited snow.
3	Fg2 (3)	Fokksnø (3)	Lag med løs nysnø (2), I fokksnøen (1)	Tørre flakskred (3)	Vær forsiktig i leområder og andre terrengformasjoner i høyden som har samlet fokksnø, særlig der snødekket er tynt feks nær rygger og klipper.	Be carefu in lee areas in the alpine with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner med ferske flak av fokksnø.	Use caution on recently loaded slopes around the highest peaks.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner med ferske fokksnøansamlinger.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
12	Fg2 (11), Fg3 (1)	Fokksnø (20), Våt snø (2)	I fokksnøen (11), Lag med løs nysnø (9), Regn/temperaturstigning (2)	Tørre flakskred (20), Våte flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner med ferske fokksnøflak, spesielt der flakene er tynne og myke.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Use caution on recently loaded slopes. The danger has descreased, but slabs can still be triggered in shallow spots.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner med fokksnøflak.	Be careful in lee areas with wind deposited snow, especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Use caution on recently loaded slopes. The danger has decreased, but slabs can still be triggered in shallow spots.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner rundt de høyeste toppene som samler fokksnø.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner rundt de høyeste toppene som samler fokksnø. Ellers faregrad 1-liten.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
3	Fg2 (3)	Fokksnø (2), Vedvarende svakt lag (1)	I fokksnøen (2), Glatt skare (1)	Tørre flakskred (3)	Vær forsiktig i leområder og andre terrengformasjoner rundt de høyeste toppene som samler fokksnø. Lite snø i vestlige deler og lavereliggende strøk.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som har flak av fokksnø.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Use caution on recently loaded slopes. The danger has decreased, but slabs can still be triggered in shallow spots.
2	Fg3 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som har mye nysnø/fokksnø.	Avoid areas with fresh wind deposited snow, typically behind ridges, ribs and in gullies.
3	Fg3 (3)	Fokksnø (3)	Lag med løs nysnø (3)	Tørre flakskred (3)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fersk fokksnø.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	Regn/temperaturstigning (3), Lag med løs nysnø (2), I fokksnøen (1)	Tørre flakskred (3), Våte løssnøskred (3)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø høyt til fjells.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially at higher elevations. Wet avalanches can still release.
13	Fg2 (12), Fg3 (1)	Våt snø (13), Fokksnø (12), Vedvarende svakt lag (1)	Regn/temperaturstigning (13), Lag med løs nysnø (12), Kantkornet over skaren (1)	Våte løssnøskred (13), Tørre flakskred (12), Våte flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø i høyden. I lavlandet kan det gå våte skred i bratt terreng.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Wet avalanches can release in steep terrain in lower areas.
3	Fg2 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø i høyereliggende områder.	Be careful in lee areas with wind deposited snow at higher elevations, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø, Soloppvarming kan føre til skred i sørsider.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Also be careful in sun exposed steep slopes
